fuzz_send,fuzz_recv,time,mode
0300003a02f08032070000003100080021000112040dd10e030103001d000000000000000000000000000009ba2c616614eb7aa743bb5378301d,0300002102f080320700000031000c00040001120812910e00000081040a000000,1650201769.5876675,1
0300003c02f08032010000004000080023000112040ab401020004001f0000000000000000000000000000000a4e1ab53eed58bfd6d290d1b52312d2,0300002102f080320700000040000c00040001120812b40100000081040a000000,1650201769.5906699,1
0300003b02f0803201000000a000080022000112040a82010f0000001e000000000000000000000000000000ab672240d8c30e8170fc518bae32e2,0300002102f0803207000000a0000c00040001120812820100000081040a000000,1650201769.5926707,1
0300003b02f08032070000008c00080022000112040f0401060106001e000000000000000000000000000000f0ddd0f37959b78a8944cc338dee0b,0300002102f08032070000008c000c00040001120812840100000081040a000000,1650201769.5956705,1
0300003a02f08032070000004900080021000112040a6204020500001d0000000000000000000000000000089c94712f830e0e493e06069134da,0300002102f080320700000049000c00040001120812a20400000081040a000000,1650201769.5986702,1
0300003a02f0803201000000b200080021000112040c02040f0100001d00000000000000000000000000000e94cb03ceff7c4321ab83e9b74196,0300002102f0803207000000b2000c00040001120812820400000081040a000000,1650201769.6006706,1
0300003c02f08032070000009700080023000112040443020c0003001f0000000000000000000000000000000d17e478630b56cc251db8cd68a33566,0300002102f080320700000097000c00040001120812830200000085000a000000,1650201769.6036704,1
0300003c02f08032070000007d00080023000112040c92010b0607001f000000000000000000000000000000056b36d9cf653eb1fc928f45a61c598e,0300002102f08032070000007d000c00040001120812920100000081040a000000,1650201769.6056707,1
0300003a02f080320100000050000800210001120403c402090000001d00000000000000000000000000000f1c3f00fcb4263b1c991ed68d013c,0300002102f080320700000050000c00040001120812840200000081040a000000,1650201769.608671,1
0300003a02f080320100000053000800210001120401e5010b0a06001d000000000000000000000000000001fa72023ff206ed4557915fe0d9d9,0300002102f080320700000053000c00040001120812a50100000081040a000000,1650201769.6116705,1
0300003a02f0803207000000e2000800210001120408f1100f0303001d00000000000000000000000000000dec27e37199d7f969ffe167ef9988,0300002102f0803207000000e2000c00040001120812b11000000081040a000000,1650201776.9272554,1
0300003a02f0803207000000d900080021000112040233030b0600001d000000000000000000000000000001c7e404872c723afbe188d53daea4,0300002102f0803207000000d9000c00040001120812b30300000081040a000000,1650201776.9292517,1
0300003c02f08032010000005d000800230001120402440307ff09001f00000000000000000000000000000001efce79bedf1516a11530728fea8e84,0300002102f08032070000005d000c00040001120812840300000081040a000000,1650201776.9312525,1
0300003a02f08032070000005b000800210001120408c7030c0605001d0000000000000000000000000000017ebb938618b3c97bd5797cd1bff7,0300002102f08032070000005b000c00040001120812870300000081040a000000,1650201776.934295,1
0300003a02f0803207000000060008002100011204090403070605001d00000000000000000000000000000b7c2ff92a3969a5be4dcf75ea0d9d,0300002102f080320700000006000c00040001120812840300000081040a000000,1650201776.936289,1
